gene_id	gene_name	ensembl_gene_id	gene_biotype	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	contrast	source_accession	source_tissue	source_groups
LEPROT	LEPROT	ENSGALG00000011047	protein_coding	1226.94215216535	-0.187646476513281	0.0807723796770622	-2.32315151866906	0.0201710141737232	0.0609882301060694	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
FOXJ2	FOXJ2	ENSGALG00000014329	protein_coding	1226.69744645551	-0.107685407951216	0.0490050476460942	-2.19743502197776	0.0279893923566988	0.0799206352995548	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
INTS8	INTS8	ENSGALG00000037955	protein_coding	1225.58724865259	0.0824818617055934	0.0559010322534127	1.47549800747298	0.14007870357312	0.281528355885873	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
SEPT5	SEPT5	ENSGALG00000001688	protein_coding	1225.25961632635	-0.499036237378717	0.0834523606269444	-5.97989360192638	2.23283414333263e-09	2.88270118135141e-08	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
TNIP1	TNIP1	ENSGALG00000004496	protein_coding	1224.81838383603	-0.42037662491357	0.0758289081420812	-5.54375152185901	2.96058886212281e-08	3.21975567528683e-07	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ENSGALG00000051922	ENSGALG00000051922	ENSGALG00000051922	pseudogene	1224.80113066795	-0.0709208648259484	0.0785587282053673	-0.902775114186522	0.366645261419674	0.55720513771621	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ENSGALG00000054991	ENSGALG00000054991	ENSGALG00000054991	protein_coding	1224.703898909	-0.0449396136792794	0.0554606565060737	-0.810297182009699	0.417769394568877	0.605754177074981	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
TOMM40L	TOMM40L	ENSGALG00000038400	protein_coding	1224.69920114855	0.0312654347104063	0.0658570371873566	0.474747058867214	0.634967271635579	0.783420745255947	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
WDR12	WDR12	ENSGALG00000008470	protein_coding	1224.36390936293	0.0887114199158776	0.0518322590161126	1.71150981261111	0.0869870413187487	0.197600052865533	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
BTAF1	BTAF1	ENSGALG00000030598	protein_coding	1223.92960998523	-0.0127379810211247	0.0665840807660129	-0.191306703863465	0.848285309168476	0.919537759671259	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
POMP	POMP	ENSGALG00000017090	protein_coding	1223.28196876106	0.0653900493921967	0.0607288190459257	1.07675483270547	0.281589808671592	0.466687249369791	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
HBBR	HBBR	ENSGALG00000017347	protein_coding	1221.64522461989	-3.53541961159984	0.659488110205831	-5.36085420932973	8.28293457455839e-08	8.44994874336159e-07	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ARL1	ARL1	ENSGALG00000011651	protein_coding	1221.59260620863	-0.00809962266348888	0.0583827836635965	-0.138733067442607	0.889661086724906	0.941952824747254	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
TWF1	TWF1	ENSGALG00000009595	protein_coding	1221.30701695463	-0.00931571334641479	0.0573686699447876	-0.162383289614006	0.871004029149544	0.931026930284398	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ING1	ING1	ENSGALG00000016849	protein_coding	1221.1287350446	0.0570589169422138	0.110615410833844	0.51583153298524	0.60597207686363	0.762433691462169	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
NDRG4	NDRG4	ENSGALG00000043662	protein_coding	1220.62141871432	-0.320950465078013	0.0621530547446422	-5.16387273958856	2.4189218285893e-07	2.30470963526344e-06	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
GAPVD1	GAPVD1	ENSGALG00000000993	protein_coding	1220.52174628499	-0.0247514912731796	0.0490604463099203	-0.504510112215891	0.613902957948039	0.768038713516558	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ENSGALG00000016971	ENSGALG00000016971	ENSGALG00000016971	protein_coding	1220.1655285619	-0.202834368145732	0.0606238744682636	-3.34578365247696	0.000820503883987372	0.00386973663739519	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
TCEA2	TCEA2	ENSGALG00000005976	protein_coding	1219.9533326971	-0.153880618534474	0.0611805085337688	-2.51519024967794	0.0118968166062532	0.0392253369592274	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
MFSD14A	MFSD14A	ENSGALG00000005329	protein_coding	1219.76739938802	0.0279217781069243	0.0986744173964614	0.282968765802165	0.77720078015002	0.878629508906645	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
SDF4	SDF4	ENSGALG00000001872	protein_coding	1219.49198747276	0.0727211172700867	0.0565104661709551	1.2868610400433	0.198142726853571	0.362991320028242	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
RNASEH2B	RNASEH2B	ENSGALG00000017015	protein_coding	1219.10633636878	0.263530666877178	0.057340843790818	4.59586307865558	4.30961640323561e-06	3.31794505932907e-05	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
DNAJB1	DNAJB1	ENSGALG00000051280	protein_coding	1218.53155031263	0.243695127125453	0.0916628627966713	2.6586026193184	0.00784654507564457	0.0277081619047898	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ENSGALG00000001604	ENSGALG00000001604	ENSGALG00000001604	protein_coding	1217.70602163298	0.121943441892684	0.0631904577357132	1.92977620771	0.0536345726930292	0.135468341099714	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ANAPC2	ANAPC2	ENSGALG00000008625	protein_coding	1217.07877202816	0.0877431102762419	0.060669076726016	1.44625755016008	0.148104977343883	0.293402835040003	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
TUBGCP4	TUBGCP4	ENSGALG00000008549	protein_coding	1217.01407080207	0.121083223460716	0.0559411268936155	2.16447594434382	0.0304278408491755	0.0855951590688732	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ANK3	ANK3	ENSGALG00000003135	protein_coding	1216.41719599569	-0.074329851286018	0.0715872337261426	-1.03831154546867	0.299125035293217	0.486827738092597	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
METTL9	METTL9	ENSGALG00000007044	protein_coding	1216.39495151851	-0.227839168946947	0.0557924051440544	-4.08369505416863	4.43251902867588e-05	0.000281038727395752	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
SLC35E3	SLC35E3	ENSGALG00000009940	protein_coding	1216.00344377636	0.0908554655062836	0.0551256463867808	1.64815238389787	0.0993214050956439	0.218316978459195	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
NME3	NME3	ENSGALG00000027635	protein_coding	1215.89311573887	0.0999203621806402	0.0635517461393879	1.57226776997575	0.115888464349291	0.244668311616702	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
DVL1	DVL1	ENSGALG00000001600	protein_coding	1214.58890415751	-0.489204761555248	0.0559736181262189	-8.73991673098755	2.33282307399472e-18	7.27132620653177e-17	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
CTNNBL1	CTNNBL1	ENSGALG00000006817	protein_coding	1214.45885161164	0.119568436259133	0.0530356109850086	2.25449342504851	0.0241651438375041	0.0709150278553521	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
CEBPG	CEBPG	ENSGALG00000032365	protein_coding	1213.78101309867	0.197870574712471	0.060812197467454	3.25379747736247	0.0011387343001702	0.00516946871507694	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
SP8	SP8	ENSGALG00000035725	protein_coding	1213.52136747505	-0.00265985750677002	0.0859010509255406	-0.0309642021618059	0.975298088511168	0.988717865482403	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
SC5D	SC5D	ENSGALG00000037065	protein_coding	1213.48172618597	-0.0844955269500067	0.0668239682811922	-1.26444940525611	0.206068769581806	0.372932127843486	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ID4	ID4	ENSGALG00000039474	protein_coding	1213.47576371078	0.39859884826211	0.0788218378068124	5.0569595857312	4.25993470123157e-07	3.91559558767757e-06	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ZNF536	ZNF536	ENSGALG00000035602	protein_coding	1213.3818759193	0.300078881318983	0.0950436268378206	3.15727515145258	0.00159250999964719	0.00695975514367593	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
PAM	PAM	ENSGALG00000015256	protein_coding	1213.19362948637	0.342519813157637	0.0840114563359538	4.07706077356799	4.56085750097756e-05	0.000288545732800157	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
MTOR	MTOR	ENSGALG00000003339	protein_coding	1212.62097266216	0.186042065776409	0.070622514108285	2.63431666410448	0.00843068196340699	0.0294373982138966	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
